0.20	1.02
0.26	1.11
0.26	0.33
-1.27	-1.89
0.23	1.32
-0.24	0.00
	
-0.34	-0.27
0.56	-0.11
2.45	2.47
0.71	0.69
0.09	-0.40
0.19	-0.26
	
0.24	0.14
0.9	0.01
1.79	-0.07
0.96	-0.53
0	-0.63
	
1.9	1.09
1.5	1.25
0.17	1.98
0.72	0.99
0.42	0.44
	
1.48	0
1.27	0.61
0.3	0.87
0.2	0.04
0	0.09
0.43	
1.50	
0.56	
0.11	
	
-0.34	
	
0.56	
0.66	
	
	
	
1.70	
	
0.32	
2.45	
	
0.50	
0.71	
0.09	
	
1.72	
	
0.19	
0.02	
	
-0.01	
0.04	
-0.11	
	
	
	
-0.10	
	
0.35	
	
0.00	
0.65	
0.55	0.97
0.41	0.89
	0.67
0.24	0.27
	
0.90	1.03
1.02	0.74
	0.22
	0.29
	
1.24	1.29
	
2.02	
	
1.86	
1.79	
0.96	0.89
	
2.36	
	
0.00	-0.08
0.24	
	
0.00	
0.24	
0.00	0.24
	
	0.47
	
0.00	0.29
	0.66
0.41	
	
0.21	
0.64	0.75
1.01	1.15
	0.20
1.90	0.76
	
1.50	1.07
	0.46
	0.76
	
0.23	0.26
	
0.51	
	
0.28	
0.17	
0.72	0.57
	
0.97	
	
0.42	0.34
0.47	
	
0.77	
0.28	
0.32	0.63
	
	0.15
	
0.40	0.81
	1.25
0.66	
	
-0.13	
2.15	
0.33	0.61
0.60	0.90
	0.58
1.48	0.70
	
1.27	1.13
2.36	1.39
	0.41
	0.43
	
0.28	0.18
	
0.72	
	
0.04	
0.30	
0.20	0.47
	
0.33	
	
0.00	-0.49
0.11	
	
0.68	
0.86	
0.60	0.98
	
	0.50
	
0.25	0.67
	0.37
0.55	
0.43	
1.50	
0.56	0.75
0.11	0.87
	-0.13
-0.34	-0.02
	
0.56	1.34
0.66	1.02
	-0.30
	-0.03
	
1.70	1.94
	
0.32	
2.45	2.27
	
0.50	
0.71	
0.09	0.53
	
1.72	
	
0.19	-0.21
0.02	
	
-0.01	
0.04	
-0.11	-0.04
	
	-0.45
	
-0.10	-0.13
	0.50
0.35	
	
0.00	0.29
0.65	
0.55	
0.41	0.48
	0.86
0.24	0.33
	0.29
0.90	1.16
1.02	1.56
	
	
	
1.24	
	0.29
2.02	
	
1.86	
1.79	
0.96	1.33
	
2.36	
	
0.00	0.19
0.24	
	
0.00	
0.24	
0.00	0.60
	
	0.00
	0.55
0.00	0.29
	
0.41	
	
0.21	1.22
0.64	
1.01	0.98
	0.97
1.90	1.55
	
1.50	1.79
2.22	
	
	
	
0.23	
	0.37
0.51	0.79
2.32	
	
0.28	
0.17	
0.72	0.83
	
0.97	
	
0.42	0.73
0.47	
	
0.77	
0.28	
0.32	1.16
	
	1.09
	0.80
0.40	1.14
	
0.66	
	
-0.13	0.64
2.15	
0.33	
0.60	0.78
	1.00
1.48	1.35
	2.11
1.27	1.63
2.36	2.09
	
	
	
0.28	
	0.34
0.72	0.92
3.75	
	
0.04	
0.30	
0.20	0.80
	
0.33	
	
0.00	0.09
0.11	
	
0.68	
0.86	
0.60	1.55
	
	0.81
	0.79
0.25	0.68
	
0.55	
	
	
0.75	
0.87	
-0.13	
-0.02	
	
1.34	
1.02	
-0.30	
-0.03	
	
1.94	
	
	
2.27	
	
	
	
0.53	
	
	
	
-0.21	
	
	
	
	
-0.04	
	
-0.45	
	
-0.13	
0.50	
	
	
0.29	
	
	0.97
0.48	0.89
0.86	0.67
0.33	0.27
0.29	
1.16	1.03
1.56	0.74
	0.22
	0.29
	
	1.29
0.29	
	
	
	
	
1.33	0.89
	
	
	
0.19	-0.08
	
	
	
	
0.60	0.24
	
0.00	0.47
0.55	
0.29	0.29
	0.66
	
	
1.22	
	
	0.75
0.98	1.15
0.97	0.20
1.55	0.76
	
1.79	1.07
	0.46
	0.76
	
	0.26
0.37	
0.79	
	
	
	
0.83	0.57
	
	
	
0.73	0.34
	
	
	
	
1.16	0.63
	
1.09	0.15
0.80	
1.14	0.81
	1.25
	
	
0.64	
	
	0.61
0.78	0.90
1.00	0.58
1.35	0.70
2.11	
1.63	1.13
2.09	1.39
	0.41
	0.43
	
	0.18
0.34	
0.92	
	
	
	
0.80	0.47
	
	
	
0.09	-0.49
	
	
	
	
1.55	0.98
	
0.81	0.50
0.79	
0.68	0.67
	0.37
	
